sd_of_theory,sd1,tpr,threshold,stopping_rule,bf_calculation,tail,true_effect,n,hypothesis,count_h1,count_h0,count_inconclusive
30,87.34,0.5,3,fixed,normal,1,TRUE,27,h1,50,1,49
30,87.34,0.5,3,fixed,normal,1,TRUE,68,h0,80,1,19
30,87.34,0.8,3,fixed,normal,1,TRUE,65,h1,83,0,17
30,87.34,0.8,3,fixed,normal,1,TRUE,3382,h0,100,0,0
30,87.34,0.9,3,fixed,normal,1,TRUE,89,h1,91,1,8
30,87.34,0.9,3,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.95,3,fixed,normal,1,TRUE,110,h1,98,0,2
30,87.34,0.95,3,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.5,6,fixed,normal,1,TRUE,41,h1,47,0,53
30,87.34,0.5,6,fixed,normal,1,TRUE,297,h0,100,0,0
30,87.34,0.8,6,fixed,normal,1,TRUE,79,h1,81,0,19
30,87.34,0.8,6,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.9,6,fixed,normal,1,TRUE,103,h1,91,0,9
30,87.34,0.9,6,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.95,6,fixed,normal,1,TRUE,126,h1,94,0,6
30,87.34,0.95,6,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.5,10,fixed,normal,1,TRUE,52,h1,50,0,50
30,87.34,0.5,10,fixed,normal,1,TRUE,840,h0,100,0,0
30,87.34,0.8,10,fixed,normal,1,TRUE,93,h1,77,0,23
30,87.34,0.8,10,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.9,10,fixed,normal,1,TRUE,119,h1,91,0,9
30,87.34,0.9,10,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.95,10,fixed,normal,1,TRUE,144,h1,94,0,6
30,87.34,0.95,10,fixed,normal,1,TRUE,NA,h0,0,0,0
30,87.34,0.5,3,fixed,normal,1,FALSE,27,h1,4,28,68
30,87.34,0.5,3,fixed,normal,1,FALSE,68,h0,5,41,54
30,87.34,0.8,3,fixed,normal,1,FALSE,65,h1,3,50,47
30,87.34,0.8,3,fixed,normal,1,FALSE,3382,h0,1,94,5
30,87.34,0.9,3,fixed,normal,1,FALSE,89,h1,4,57,39
30,87.34,0.9,3,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.95,3,fixed,normal,1,FALSE,110,h1,2,64,34
30,87.34,0.95,3,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.5,6,fixed,normal,1,FALSE,41,h1,4,8,88
30,87.34,0.5,6,fixed,normal,1,FALSE,297,h0,0,55,45
30,87.34,0.8,6,fixed,normal,1,FALSE,79,h1,0,16,84
30,87.34,0.8,6,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.9,6,fixed,normal,1,FALSE,103,h1,1,16,83
30,87.34,0.9,6,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.95,6,fixed,normal,1,FALSE,126,h1,0,25,75
30,87.34,0.95,6,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.5,10,fixed,normal,1,FALSE,52,h1,0,0,100
30,87.34,0.5,10,fixed,normal,1,FALSE,840,h0,0,48,52
30,87.34,0.8,10,fixed,normal,1,FALSE,93,h1,0,2,98
30,87.34,0.8,10,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.9,10,fixed,normal,1,FALSE,119,h1,4,3,93
30,87.34,0.9,10,fixed,normal,1,FALSE,NA,h0,0,0,0
30,87.34,0.95,10,fixed,normal,1,FALSE,144,h1,2,11,87
30,87.34,0.95,10,fixed,normal,1,FALSE,NA,h0,0,0,0
